Semaine,Date_debut,Mois,Trimestre,Maladie,Total_cas,Total_deces,Taux_letalite_pct
2023-S06,2023-02-06,2,Q1,MAPI LEGERES,2.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,MAPI LEGERES,189.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,MAPI LEGERES,187.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,MAPI LEGERES,166.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,MAPI LEGERES,117.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,Monkeypox,23.0,1.0,4.35
2023-S02,2023-01-09,1,Q1,Monkeypox,27.0,1.0,3.7
2023-S03,2023-01-16,1,Q1,Monkeypox,110.0,4.0,3.64
2023-S04,2023-01-23,1,Q1,Monkeypox,132.0,8.0,6.06
2023-S04,2023-01-24,1,Q1,Monkeypox,4.0,1.0,25.0
2023-S04,2023-01-29,1,Q1,Monkeypox,2.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Monkeypox,120.0,5.0,4.17
2023-S05,2023-02-01,2,Q1,Monkeypox,126.0,6.0,4.76
2023-S06,2023-02-06,2,Q1,Monkeypox,5.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,Monkeypox,126.0,6.0,4.76
2023-S08,2023-02-20,2,Q1,Monkeypox,103.0,7.0,6.8
2023-S22,2023-06-02,6,Q2,Monkeypox,146.0,7.0,4.79
2023-S35,2023-09-01,9,Q3,Monkeypox,115.0,2.0,1.74
2023-S00,2023-01-01,1,Q1,Méningite,8.0,2.0,25.0
2023-S01,2023-01-02,1,Q1,Méningite,30.0,8.3,27.67
2023-S02,2023-01-09,1,Q1,Méningite,21.0,5.9,28.1
2023-S03,2023-01-16,1,Q1,Méningite,185.0,33.9,18.32
2023-S03,2023-01-17,1,Q1,Méningite,3.0,0.0,0.0
2023-S03,2023-01-19,1,Q1,Méningite,2.0,0.0,0.0
2023-S03,2023-01-22,1,Q1,Méningite,2.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,Méningite,120.0,17.7,14.75
2023-S04,2023-01-24,1,Q1,Méningite,8.0,0.0,0.0
2023-S04,2023-01-26,1,Q1,Méningite,2.0,0.0,0.0
2023-S04,2023-01-29,1,Q1,Méningite,1.0,0.0,0.0
2023-S05,2023-01-30,1,Q1,Méningite,273.0,14.0,5.13
2023-S05,2023-02-01,2,Q1,Méningite,99.0,5.0,5.05
2023-S06,2023-02-06,2,Q1,Méningite,19.0,2.0,10.53
2023-S07,2023-02-13,2,Q1,Méningite,89.0,21.4,24.04
2023-S07,2023-02-16,2,Q1,Méningite,20.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,Méningite,101.0,12.8,12.67
2023-S08,2023-02-22,2,Q1,Méningite,1.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,Méningite,102.0,9.0,8.82
2023-S26,2023-07-01,7,Q3,Méningite,3.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,Méningite,53.0,7.0,13.21
2023-S35,2023-09-02,9,Q3,Méningite,5.0,0.0,0.0
2023-S48,2023-12-01,12,Q4,Méningite,10.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,PESTE,1.0,0.0,0.0
2023-S03,2023-01-16,1,Q1,PESTE,2.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,PESTE,1.0,1.0,100.0
2023-S05,2023-01-30,1,Q1,PESTE,1.0,0.0,0.0
2023-S05,2023-02-01,2,Q1,PESTE,1.0,0.0,0.0
2023-S07,2023-02-13,2,Q1,PESTE,1.0,0.0,0.0
2023-S08,2023-02-20,2,Q1,PESTE,1.0,0.0,0.0
2023-S22,2023-06-02,6,Q2,PESTE,1.0,0.0,0.0
2023-S35,2023-09-01,9,Q3,PESTE,1.0,0.0,0.0
2023-S00,2023-01-01,1,Q1,PFA,28.0,0.0,0.0
2023-S01,2023-01-02,1,Q1,PFA,1.0,6.7,670.0
2023-S02,2023-01-09,1,Q1,PFA,5.0,3.7,74.0
2023-S03,2023-01-16,1,Q1,PFA,35.0,10.700000000000001,30.57
2023-S03,2023-01-22,1,Q1,PFA,2.0,0.0,0.0
2023-S04,2023-01-23,1,Q1,PFA,41.0,3.1,7.56
2023-S04,2023-01-26,1,Q1,PFA,1.0,0.0,0.0
